article,location,latitude,longitude,sector,priority
Reliance becomes Meta's AI infrastructure partner in India with first data centre build - CRN Asia,India,20.5937,78.9629,Technology,Medium
Meta & Reliance to Build 168 MW AI Data Centre in Jamnagar - Liquide Blog,Jamnagar,22.4707,70.0577,Technology,Low
Meta & Reliance to Build 168 MW AI Data Centre in Jamnagar - Liquide Blog,Gujarat,23.0225,72.5714,Technology,Low
Steel Exchange India secures APCRDA approval for Simhadri TMT usage - scanx.trade,Andhra Pradesh,16.5062,80.648,Other,High
"India doubles public investment in 5 years to build rails, chip plants - Nikkei Asia",India,20.5937,78.9629,Transportation,High
AP unveils India's first guidelines for urban PPP projects - The New Indian Express,India,20.5937,78.9629,Urban Development,Medium
Maharashtra tightens approvals for new infra projects - The Indian Express,Maharashtra,19.076,72.8777,Other,High
"States seek central support for infra, chip projects at NITI Aayog meet - Business Standard",India,20.5937,78.9629,Transportation,High
Union Minister Ashwini Vaishnaw says India witnesses rapid railway infrastructure development in past 12 years - News On AIR,India,20.5937,78.9629,Transportation,Critical
"Indian Railways approves Rs 2,193 crore for three key infrastructure projects to boost safety, capacity and suburban connectivity - ANI News",Delhi,28.6139,77.209,Transportation,Critical
"Afcons Infrastructure Secures €677 Million Croatia Railway Project, Marking Entry into Europe - Spherical Insights",India,20.5937,78.9629,Transportation,Critical
Mizoram MP seeks World Bank support for infrastructure projects in State - India Today NE,Mizoram,23.7271,92.7176,Transportation,High
"Indian Railways approves two key rail infrastructure projects worth over Rs 1,950 crore - The Statesman",Delhi,28.6139,77.209,Transportation,Critical
Indian Railways Sanctions Projects Worth ₹895 Crore for Infrastructure Boost | Akashvani News - News On AIR,India,20.5937,78.9629,Transportation,Critical
"Metro Expansion, Pod Taxis: Mumbai To Unveil Major Infrastructure Projects - NDTV",Mumbai,19.076,72.8777,Transportation,Critical
From Frontier to Fulcrum: Northeast India’s Indo-Pacific Opportunity - orfonline.org,India,20.5937,78.9629,Transportation,High
MAN Industries: Powering Global Infrastructure with India’s Advanced Pipe Manufacturing - Tube & Pipe India,India,20.5937,78.9629,Energy,Medium
L&T wins Orders (Major*) in India and Abroad for Power Transmission Infrastructure - Larsen & Toubro,India,20.5937,78.9629,Transportation,Medium
Upcoming mega expressways set to reshape India’s infrastructure landscape by 2030 - Moneycontrol.com,India,20.5937,78.9629,Transportation,Critical
"India's Mega Infra Push: Six Projects Including Mumbai Metro Line 11, Ladakh Tunnel And Rail Corridors Evaluated By PM GatiShakti Panel - Swarajyamag",Ladakh,34.1526,77.5771,Transportation,Critical
"India's Mega Infra Push: Six Projects Including Mumbai Metro Line 11, Ladakh Tunnel And Rail Corridors Evaluated By PM GatiShakti Panel - Swarajyamag",Mumbai,19.076,72.8777,Transportation,Critical
Cabinet approves a New Era of Plug-and-Play Industrial Development through Bharat Audyogik Vikas Yojna (BHAVYA) - PM India,India,20.5937,78.9629,Industrial,High
Northeast India: The next frontier for manufacturing & logisti... - Invest India,India,20.5937,78.9629,Industrial,Low
"Rs 90,000 crore rail infra projects underway in Odisha, says Ashwini Vaishnaw - India Today",Odisha,20.2961,85.8245,Transportation,Medium
Ceigall India: Co Infra Arm Emerges L1 Bidder For Punjab Projects Worth ₹207 Crore - scanx.trade,Punjab,30.7333,76.7794,Other,Medium
