article,location,latitude,longitude
Reliance becomes Meta's AI infrastructure partner in India with first data centre build - CRN Asia,India,20.5937,78.9629
Meta & Reliance to Build 168 MW AI Data Centre in Jamnagar - Liquide Blog,Jamnagar,22.4707,70.0577
Meta & Reliance to Build 168 MW AI Data Centre in Jamnagar - Liquide Blog,Gujarat,23.0225,72.5714
Steel Exchange India secures APCRDA approval for Simhadri TMT usage - scanx.trade,Andhra Pradesh,16.5062,80.648
"India doubles public investment in 5 years to build rails, chip plants - Nikkei Asia",India,20.5937,78.9629
AP unveils India's first guidelines for urban PPP projects - The New Indian Express,India,20.5937,78.9629
Maharashtra tightens approvals for new infra projects - The Indian Express,Maharashtra,19.076,72.8777
"States seek central support for infra, chip projects at NITI Aayog meet - Business Standard",India,20.5937,78.9629
Union Minister Ashwini Vaishnaw says India witnesses rapid railway infrastructure development in past 12 years - News On AIR,India,20.5937,78.9629
"Indian Railways approves Rs 2,193 crore for three key infrastructure projects to boost safety, capacity and suburban connectivity - ANI News",Delhi,28.6139,77.209
"Afcons Infrastructure Secures €677 Million Croatia Railway Project, Marking Entry into Europe - Spherical Insights",India,20.5937,78.9629
Mizoram MP seeks World Bank support for infrastructure projects in State - India Today NE,Mizoram,23.7271,92.7176
"Indian Railways approves two key rail infrastructure projects worth over Rs 1,950 crore - The Statesman",Delhi,28.6139,77.209
Indian Railways Sanctions Projects Worth ₹895 Crore for Infrastructure Boost | Akashvani News - News On AIR,India,20.5937,78.9629
"Metro Expansion, Pod Taxis: Mumbai To Unveil Major Infrastructure Projects - NDTV",Mumbai,19.076,72.8777
From Frontier to Fulcrum: Northeast India’s Indo-Pacific Opportunity - orfonline.org,India,20.5937,78.9629
MAN Industries: Powering Global Infrastructure with India’s Advanced Pipe Manufacturing - Tube & Pipe India,India,20.5937,78.9629
L&T wins Orders (Major*) in India and Abroad for Power Transmission Infrastructure - Larsen & Toubro,India,20.5937,78.9629
Upcoming mega expressways set to reshape India’s infrastructure landscape by 2030 - Moneycontrol.com,India,20.5937,78.9629
"India's Mega Infra Push: Six Projects Including Mumbai Metro Line 11, Ladakh Tunnel And Rail Corridors Evaluated By PM GatiShakti Panel - Swarajyamag",Ladakh,34.1526,77.5771
"India's Mega Infra Push: Six Projects Including Mumbai Metro Line 11, Ladakh Tunnel And Rail Corridors Evaluated By PM GatiShakti Panel - Swarajyamag",Mumbai,19.076,72.8777
Cabinet approves a New Era of Plug-and-Play Industrial Development through Bharat Audyogik Vikas Yojna (BHAVYA) - PM India,India,20.5937,78.9629
Northeast India: The next frontier for manufacturing & logisti... - Invest India,India,20.5937,78.9629
"Rs 90,000 crore rail infra projects underway in Odisha, says Ashwini Vaishnaw - India Today",Odisha,20.2961,85.8245
Ceigall India: Co Infra Arm Emerges L1 Bidder For Punjab Projects Worth ₹207 Crore - scanx.trade,Punjab,30.7333,76.7794
