title,link
PMI: South Asia construction talent gap expands - Construction Week India,https://news.google.com/rss/articles/CBMikwFBVV95cUxQblBGRnFMY3VvMS1XMDNDTXFNWG1DejhSaVNuaGNRSmJXMFAxU2R5UG5FRWJJYnNtLXNZeVlLdDEyYk5ZSklxeVRVa2dTTnJoc2xZaVRsSVUtb0I2azJDM0x2R1pKQXpLZGlFWjY1ZVg0R2h6NkM5Y3hxc3dKU3haZ0xfcnJ0aHhWSURGS3ZBSFE5dE0?oc=5
"PM Modi launches development projects worth Rs 11,000 crore in Kerala’s Kochi to boost infrastructure and industry - DD News",https://news.google.com/rss/articles/CBMi1AFBVV95cUxPT2dKNFJGY2pzeUNZMmF1VzZ1b25MbENIWjAzTUk4UVlIZjJ3ek1nNFN4cjJvcGc2cmN4elVyd2hNNDZzZGNJb0IxeWd4QXpXdldMajdPSFN5b0JNTmdrRHNjMmN5aFdlbHZwTy1xVTFMQWRMMFRLQl9nUXFKTllUWHlGTmYxdHJ1Ql9pREVKcWNPVkFJOUhMZEpRMm5TSGtUd1JjWW04a3V1LUFZV01VNWtxdXZVVDBIb192amhvUld2SER4Z0dURmItbE9ZcmRvQl9NZw?oc=5
Reliance becomes Meta's AI infrastructure partner in India with first data centre build - CRN Asia,https://news.google.com/rss/articles/CBMixgFBVV95cUxOOTgzR2dhSnhnODRSZjdVWUpkUUVhSlRWaWRmcWFYQ3FYdTR4SnJmWXhtY2QxVWlaYVpucXBIMnFKVEdoS21aVnpfV2pSYWNjT2h2Q2g3em5ka1p6VEZabDB4Ym8zeHJhMkdwbHM3N0t2VkdZZ1BDSFEwTUplMW8xTWZDNzFmQ1UxQ3hFbElBU25WaUlFdlJtR182Sm1aSl9kQkJ0eW9LRkdzV01vdTY4MHdYeEJhQnJRQjJpMTJDbm4xekNGSVE?oc=5
Press Note Details - PIB,https://news.google.com/rss/articles/CBMihgFBVV95cUxNVWRqa0FZc25UTUo5WG14RElYTkRfRmZRMGtsaUFHUUhtbXJOdnRZQlJNek9VZTVNSjk3bmF6bTFOcERZcnBtQUJzWjF4RTV1bElNandWUENLbDlIVzRkWGZjZ0o0WlBhcnF4MlNrWVVXN05iMG9sU1dFWnVhT21lLWdkaHNpdw?oc=5
Top 10 Mega Infrastructure Projects in India (2026) - Construction World India,https://news.google.com/rss/articles/CBMiwAFBVV95cUxPVzEzZ05YaXNCdERzVXdybG52Qm0tRXVFXzBsSm1nYm9sM3Q5QTVROTBxV3ZWdkNNZGZvemlhdzg3MXlCaFIwRFI4V05VVE90VEJWaGJPNnMyR25nX085bWVSUUZfMnZZNkZrMFBQY21kOVRFYWYtbF9qQl9VaXpwTWxHN2RYZXgxNkhSbEkwdm9mOHpmeHZVNHNfb1hEamVISkhCSWxJOEZWVnVlb0NOczhpRHIwdlhaM2ZCMS1SSnA?oc=5
Why Modi’s Great Nicobar Project is a Recipe for Disaster - The Diplomat – Asia-Pacific Current Affairs Magazine,https://news.google.com/rss/articles/CBMikwFBVV95cUxNdUZjczlNY2NrRjN1S1FPM2YwSHdLVlZrc2FvZ3JyVDRlRWtwMlVZekhCdWlzNjhyM3NFQzV0bWlmZXBsNmJvV0dxQXY2ejFkdHJrWTdvVU8tWG04RkFlcGpOR3hLZXFlM1NYRHh4NjEzMkdDeV9NZElkY2N6Q0ZXM3ZVVTdneDlsQ0xobU1jWG1ZbW8?oc=5
5 Emerging Leaders in India's Infrastructure Story - Equitymaster,https://news.google.com/rss/articles/CBMiuwFBVV95cUxQMkk3Mnp6NS1NWmxER2ZWM1Uxc3FKUDBzaHkwVlVQLWlUQ2dmdDBVZEZhdVVEVGpOOG5qVnFvcjl6WHVha3ZRQk9aMnVtRTVQbGRBbkQ5eEl2dWIxMzktX2RjQmRWM3pPdUQ0ckxfejlFRlVHYlVhUkpuMlVwWHh5NGZqR1ZHeENzbjlhaktVMGRJUnI2bE11RzRGUEVKWFVSa0QwR1VoWVZTOC1JR3dDa0hPbWQxVjluNHI4?oc=5
Meta & Reliance to Build 168 MW AI Data Centre in Jamnagar - Liquide Blog,https://news.google.com/rss/articles/CBMiggFBVV95cUxQZk1HcEFEQ1YxaDlKQ1NPUTN4dXVLWUpReS1MLWMwdUJ4TGdRWXNmVTcwOGRLT0ozME9qM1QtZGt6TUJPM29lbVlYc0pLbVRxODRjOTZienE0bHlYLU01c091WktfUGRzdFJJQ19Cc2RwVXd2OGJpTnRETFNncC1kUmNR?oc=5
Steel Exchange India secures APCRDA approval for Simhadri TMT usage - scanx.trade,https://news.google.com/rss/articles/CBMiwgFBVV95cUxQcE9QbS1NZ2lTeDNtSERqQjNOVVNTZGtRQmJPRmNBLVhXY282eXdTOHdaOW9CRlJPN0hHUkdVa0FieDFMbjdYQlVOYVczcXFjUEFIdWVNYUpPZkFOeUs1UVI2NTBVU0hueEFuaXc1UnEwUjdFT0ZJVXY2QVI1NjhWckc3SFcybzd2U0Qya3l4R3h5dEoxWFcxNmF5V2VyRGZQUVgxc3NHMzZ1V3F1SEhnenNPTzV3T0pSNHNSLUt4ZWxmQQ?oc=5
Infra projects see cost overrun of ₹5.65 lakh crore in April: MoSPI report - ETEnergyworld.com,https://news.google.com/rss/articles/CBMi0wFBVV95cUxNY2F2V0Z5WGVkdXZyLWpsaGdlR0dfcGFhd1YzR0tBQ200dmF3TFJBV21YZVZybjFlU3U3Nnh3OVlYUnRZdG5WclFJajY0YnE4N0FPbXd0Y3RqMDJQc2NISUcwak9SS3ZzM1BCQmNzZ3J1QVZNenBMUVhDOEI2YldVQ0J3TklXU2RSUTAwNkI2cTJtOHhkX0ZOQTNfMkN6M2JYR05JUjNncXdOUXBHcF9VbnhwQ2JBaXI2aDJodHlEeXZFaGVDY3VJTDNwN3VFcG5mdzV30gHYAUFVX3lxTE9vcDM0VEtoNkxmUk5GTE5oa0Z2NXBWZ0JkVFBjRENBOHVBZTZ2VWJYQTZjZlloRWg0dnhZeTFJTmIxUzVXNXpXYk1DNnVCaW9heU1FUjV6R3lacXZNX2dBZmtVOTVmVkFpckk1ZjByYU84VC1VaGI4WG1VSWRfcmxwUXpKVkluWmEtZTNiNjJnbVVDd1h5VlNZbmFJOERETjdEbzhrZlFFSzZIVkVXeUU4azRzWWo1dFFTVnFFaE5yLXRPYnhTWVhNZ3lsU0JhaDNnbDV6N0otRg?oc=5
